Year,Label,Count
2008,secure,1292
2008,insecure,82
2009,secure,5559
2009,insecure,363
2010,secure,10712
2010,insecure,649
2011,secure,20041
2011,insecure,1052
2012,secure,30205
2012,insecure,1665
2013,secure,40690
2013,insecure,2557
2014,secure,40289
2014,insecure,2674
2015,insecure,2996
2015,secure,40373
2016,secure,38474
2016,insecure,3011
2017,secure,34462
2017,insecure,2602
2018,secure,28557
2018,insecure,2260
2019,secure,26625
2019,insecure,1878
2020,secure,25868
2020,insecure,1929
2008,insecure_orig,63
2009,insecure_orig,251
2010,insecure_orig,458
2011,insecure_orig,612
2012,insecure_orig,966
2013,insecure_orig,1408
2014,insecure_orig,1544
2015,insecure_orig,1675
2016,insecure_orig,1554
2017,insecure_orig,1318
2018,insecure_orig,1149
2019,insecure_orig,699
2020,insecure_orig,761
2008,secure_orig,2446
2009,secure_orig,11114
2010,secure_orig,20755
2011,secure_orig,37260
2012,secure_orig,58655
2013,secure_orig,75297
2014,secure_orig,79599
2015,secure_orig,82983
2016,secure_orig,79647
2017,secure_orig,85546
2018,secure_orig,58476
2019,secure_orig,35896
2020,secure_orig,28388
