"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Scalable Variational Gaussian Processes for Crowdsourcing: Glitch Detection in LIGO","P. Morales-Álvarez; P. Ruiz; S. Coughlin; R. Molina; A. K. Katsaggelos","Department of Computer Science and Artificial Intelligence, University of Granada, Granada, Spain; Department of Electrical Engineering and Computer Science, Northwestern University, Evanston, IL, USA; Center for Interdisciplinary Exploration and Research in Astrophysics (CIERA), Northwestern University, Evanston, IL, USA; Department of Computer Science and Artificial Intelligence, University of Granada, Granada, Spain; Department of Electrical Engineering and Computer Science, Northwestern University, Evanston, IL, USA",IEEE Transactions on Pattern Analysis and Machine Intelligence,"3 Feb 2022","2022","44","3","1534","1551","In the last years, crowdsourcing is transforming the way classification training sets are obtained. Instead of relying on a single expert annotator, crowdsourcing shares the labelling effort among a large number of collaborators. For instance, this is being applied in the laureate laser interferometer gravitational waves observatory (LIGO), in order to detect glitches which might hinder the identification of true gravitational-waves. The crowdsourcing scenario poses new challenging difficulties, as it has to deal with different opinions from a heterogeneous group of annotators with unknown degrees of expertise. Probabilistic methods, such as Gaussian processes (GP), have proven successful in modeling this setting. However, GPs do not scale up well to large data sets, which hampers their broad adoption in real-world problems (in particular LIGO). This has led to the very recent introduction of deep learning based crowdsourcing methods, which have become the state-of-the-art for this type of problems. However, the accurate uncertainty quantification provided by GPs has been partially sacrificed. This is an important aspect for astrophysicists in LIGO, since a glitch detection system should provide very accurate probability distributions of its predictions. In this work, we first leverage a standard sparse GP approximation (SVGP) to develop a GP-based crowdsourcing method that factorizes into mini-batches. This makes it able to cope with previously-prohibitive data sets. This first approach, which we refer to as scalable variational Gaussian processes for crowdsourcing (SVGPCR), brings back GP-based methods to a state-of-the-art level, and excels at uncertainty quantification. SVGPCR is shown to outperform deep learning based methods and previous probabilistic ones when applied to the LIGO data. Its behavior and main properties are carefully analyzed in a controlled experiment based on the MNIST data set. Moreover, recent GP inference techniques are also adapted to crowdsourcing and evaluated experimentally.","1939-3539","","10.1109/TPAMI.2020.3025390","Spanish Ministry of Economy and Competitiveness(grant numbers:DPI2016-77869-C2-2-R); Ministerio de Ciencia e Innovación(grant numbers:PID2019-105142RB-C22); National Science Foundation(grant numbers:INSPIRE 15-47880); U.S. Department of Energy(grant numbers:DE-NA0002520); Universidad de Granada; La Caixa Banking Foundation(grant numbers:ID 100010434); Doctoral Studies(grant numbers:LCF/BQ/ES17/11600011); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9201029","Crowdsourcing;citizen science;laser interferometer gravitational waves observatory;sparse Gaussian processes;scalability;uncertainty quantification;deep learning","Crowdsourcing;Training;Probabilistic logic;Gaussian processes;Machine learning;Uncertainty;Bayes methods","","12","","63","IEEE","21 Sep 2020","","","IEEE","IEEE Journals"
"A Novel Modeling Method of the Crowdsourcing Design Process for Complex Products-Based an Object-Oriented Petri Net","L. Song; Y. Fu; J. Su; K. Zhou; M. Long","College of Mechanical Engineering, Chongqing University of Technology, Chongqing, China; College of Mechanical Engineering, Chongqing University of Technology, Chongqing, China; National Research Base of Intelligent Manufacturing Service, Chongqing Technology and Business University, Chongqing, China; College of Mechanical Engineering, Chongqing University of Technology, Chongqing, China; Zhubajie Company Ltd., Chongqing, China",IEEE Access,"18 Mar 2021","2021","9","","41430","41440","Crowdsourcing design for complex products has open objectives and requires collaboration among different fields. It is difficult to use a single approach to describe the process in which the number and interaction of tasks and steps of tasks are changed dynamically depending on the execution state. Motivated by modeling the collaborative business process of crowdsourcing design in complex products, a crowdsourcing hierarchical process modeling approach based on an object-oriented Petri net is proposed. From the perspective of organization and task, the crowdsourcing object interaction and design process are modeled separately. First, an organization layer modeling approach based on expert review is proposed to describe the information transfer relationship among crowdsourcing objects from the organization perspective. Then, the task layer modeling approach based on the component decomposition idea is proposed. From the perspective of the task, the task is decomposed by using a design structure matrix (DSM) and a product structure tree to model the interaction of the design process. The object-oriented Petri net-is used to realize the representation of the model. Finally, the method is verified by taking the model of the crowdsourcing design of an air cooler as an example. The model subnet is analyzed by means of an overlay tree and incidence matrix, and the reliability and robustness of the model are proven. This method provides a reference for the process modeling of the crowdsourcing design of complex products.","2169-3536","","10.1109/ACCESS.2021.3065360","National Key Research and Development Project of China(grant numbers:2018YFB1700804); Youth Foundation of Ministry of Education of China(grant numbers:19YJC630141); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9374980","Crowdsourcing;process modeling;object-oriented;Petri net;design structure matrix","Object oriented modeling;Crowdsourcing;Task analysis;Petri nets;Unified modeling language;Process modeling;Organizations","","7","","44","CCBY","10 Mar 2021","","","IEEE","IEEE Journals"
"Why and How Firms Implement Internal Crowdsourcing Platforms","M. Beretta; L. Frederiksen; M. Wallin; V. Kulikovskaja","Aarhus Universitet, Aarhus, Denmark; Aarhus Universitet, Aarhus, Denmark; Technology Management and Economics, Chalmers University of Technology, Gothenburg, Sweden; Aarhus Universitet, Aarhus, Denmark",IEEE Transactions on Engineering Management,"6 Jul 2023","2023","70","9","3036","3049","Internal crowdsourcing platforms enable firms to involve a wider crowd of employees beyond the R&D department in the generation and development of ideas for innovation. Prior studies emphasize firm-level functional benefits, e.g., accessing larger and more diverse sets of ideas, competences, and expertise as well as reducing the costs for innovation. Inspired by the behavioral theory of the firm, we depart from such functionalist approach and develop a model that explains why and how managers in large organizations implement and design internal crowdsourcing. Drawing on a qualitative, multiple case study of five large organizations, we identify three key motives that underpin managers’ decision to implement an internal crowdsourcing platform: problem-stimulated, opportunity-driven, and legitimacy-seeking. Next, we discuss how such different motives drive managers’ decisions regarding their design of the internal crowdsourcing initiative. Broadly, our results help explain why firms continue to invest in crowdsourcing initiatives despite meager results and how managers’ cognitive frameworks impact heterogeneity in the design and implementation of crowdsourcing initiatives. This article contributes to the crowdsourcing literature by providing a more multifaceted picture of internal crowdsourcing than previous research has suggested. From a practitioners’ perspective, awareness and recognition by managers of the potential pitfalls in implementing and designing these platforms stand out as an important first step toward improving the effectiveness of internal crowdsourcing.","1558-0040","","10.1109/TEM.2020.3045118","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9335238","Crowdsourcing;decision making;innovation management;organizational aspects;technology management","Crowdsourcing;Interviews;Organizations;Technological innovation;Industries;Decision making;Search problems","","6","","64","IEEE","25 Jan 2021","","","IEEE","IEEE Journals"
"Quantum Analysis on Task Allocation and Quality Control for Crowdsourcing With Homogeneous Workers","M. Xu; S. Wang; Q. Hu; H. Sheng; X. Cheng","Department of Computer Science, The George Washington University, Washington, DC, USA; School of Artificial Intelligence, Beijing Normal University, Beijing, China; Department of Computer and Information Science, Indiana University - Purdue University, Indianapolis, IN, USA; State Key Laboratory of Software Development Environment, School of Computer Science, Beihang University; Department of Computer Science, The George Washington University, Washington, DC, USA",IEEE Transactions on Network Science and Engineering,"31 Dec 2020","2020","7","4","2830","2839","Crowdsourcing has been emerging as a valid problem-solving model that harnesses a large group of contributors to solve a complicated task. However, existing crowdsourcing platforms or systems could suffer from task allocation and quality control problems. In this article, we first prove that there exist two dilemmas while tackling the above issues by using a game-theoretic approach. To overcome this challenge, we are focusing on exploiting quantum crowdsourcing schemes in which the welfare of requestor or worker can be maximized since quantum players share the extended strategy space, and the introduction of entanglement offers a new method of depicting fine-grained relations between players. Specifically, we propose a quantum game model for quota-oriented crowdsourcing game to address dilemmas in task allocation. The result indicates the dilemma based on classical strategy will disappear with the increment of entanglement degree. While in the quality-oriented crowdsourcing game, we adopt a density matrix approach to calculate the optimal payoffs of both sides, which demonstrates the superiority of our quantum strategy. Moreover, our quantum scheme is generic since it is compatible with the schemes from a classical perspective. Hence, our noteworthy quantum crowdsourcing schemes offer a promising alternative route for tackling dilemmas in crowdsourcing scenarios.","2327-4697","","10.1109/TNSE.2020.2997716","National Key R&D Program of China(grant numbers:2017YFB1002000); National Natural Science Foundation of China(grant numbers:61472044,61772080,61771289,61832012,61861166002); National Science Foundation(grant numbers:IIS-1741279,CNS-1704397); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9099969","Crowdsourcing;dilemma;quantum game;entanglement.","Games;Crowdsourcing;Task analysis;Game theory;Resource management;Quantum entanglement","","5","","38","IEEE","26 May 2020","","","IEEE","IEEE Journals"
"Investigating Business Sustainability of Crowdsourcing Platforms","H. R. He; Y. Liu; J. Gao; D. Jing","School of Maritime Economics and Management, Dalian Maritime University, Dalian, China; School of Maritime Economics and Management, Dalian Maritime University, Dalian, China; UniSA STEM, University of South Australia, Adelaide, SA, Australia; School of Big Data and Artificial Intelligence, Dalian University of Finance and Economics, Dalian, China",IEEE Access,"20 Jul 2022","2022","10","","74291","74303","Nowadays, crowdsourcing has become a popular way of sourcing. As intermediaries that connect crowdsourcers and crowds, crowdsourcing platforms integrate state-of-the-art information technologies and specialized organizational functions to host and govern crowdsourcing projects. The extant literature on crowdsourcing has investigated numerous aspects of crowdsourcing platforms. However, a majority of studies are project-oriented and short-term focused. There is a lack of a holistic view of crowdsourcing platforms as enterprises with a developmental perspective. This study aims to address this issue by investigating business sustainability of crowdsourcing platforms. By considering temporal dimensions and multiple interpretations of business sustainability, a conceptual framework is proposed to investigate the sustainability of a crowdsourcing platform by analyzing the key business process, value co-creation, and business development, which is a major theoretical contribution of the study. A case study of LEGO Ideas is presented to illustrate the practical implementation of the proposed framework. Both theoretical and practical implications are discussed.","2169-3536","","10.1109/ACCESS.2022.3190970","Key Research and Development Project of Liaoning Provincial Department of Science and Technology(grant numbers:2020JH2/10100042); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9829743","Crowdsourcing platform;business sustainability;crowdsourcing;platform governance;LEGO ideas","Crowdsourcing;Business;Task analysis;Sustainable development;Collaboration;Behavioral sciences","","5","","79","CCBY","14 Jul 2022","","","IEEE","IEEE Journals"
"Adaptive Result Inference for Collecting Quantitative Data With Crowdsourcing","H. Sun; K. Hu; Y. Fang; Y. Song","School of Computer Science and Engineering, Beihang University, Beijing, China; School of Computer Science and Engineering, Beihang University, Beijing, China; School of Computer Science and Engineering, Beihang University, Beijing, China; Department of Computer Science, Hong Kong University of Science and Technology, Hong Kong",IEEE Internet of Things Journal,"5 Oct 2017","2017","4","5","1389","1398","In quantitative crowdsourcing, workers are asked to provide numerical answers. Different from categorical crowdsourcing, result aggregation in quantitative crowdsourcing is processed by combinatorially computing over all workers’ answers instead of by merely choosing one from a set of candidate answers. Therefore, existing result aggregation models for categorical crowdsourcing tasks cannot be used in quantitative crowdsourcing. Moreover, the worker ability often varies in the process of crowdsourcing with the changing of workers’ skill, willingness, efforts, etc. In this paper, we propose a probabilistic model to characterize the quantitative crowdsourcing problem by considering the changing of worker ability so as to achieve better quality control. The dynamic worker ability is obtained with Kalman filtering and smoother. We design an expectation-maximization-based inference algorithm and a dynamic worker filtering algorithm to compute the aggregated crowdsourcing result. Finally, we conducted experiments with real data on CrowdFlower and the results showed that our approach can effectively rule out low-quality workers dynamically and obtain more accurate results with less costs.","2327-4662","","10.1109/JIOT.2017.2673958","China 973 Program(grant numbers:2015CB358700,2014CB340304); National Key Research and Development Program of China(grant numbers:2016YFB1000804); NSFC Program(grant numbers:61421003); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7862852","Crowdsensing;quality control;quantitative crowdsourcing;result inference","Crowdsourcing;Heuristic algorithms;Algorithm design and analysis;Inference algorithms;Computational modeling;Kalman filters;Adaptation models","","4","","31","IEEE","23 Feb 2017","","","IEEE","IEEE Journals"
"An Empirical Study of Obsolete Answers on Stack Overflow","H. Zhang; S. Wang; T. -H. Chen; Y. Zou; A. E. Hassan","Software Analysis and Intelligence Lab (SAIL), Queen’s University, Kingston, ON, Canada; Software Analysis and Intelligence Lab (SAIL), Queen’s University, Kingston, ON, Canada; Department of Computer Science and Software Engineering, Concordia University, Montreal, QC, Canada; Department of Electrical and Computer Engineering, Queen’s University, Kingston, ON, Canada; Software Analysis and Intelligence Lab (SAIL), Queen’s University, Kingston, ON, Canada",IEEE Transactions on Software Engineering,"16 Apr 2021","2021","47","4","850","862","Stack Overflow accumulates an enormous amount of software engineering knowledge. However, as time passes, certain knowledge in answers may become obsolete. Such obsolete answers, if not identified or documented clearly, may mislead answer seekers and cause unexpected problems (e.g., using an out-dated security protocol). In this paper, we investigate how the knowledge in answers becomes obsolete and identify the characteristics of such obsolete answers. We find that: 1) More than half of the obsolete answers (58.4 percent) were probably already obsolete when they were first posted. 2) When an obsolete answer is observed, only a small proportion (20.5 percent) of such answers are ever updated. 3) Answers to questions in certain tags (e.g., node.js, ajax, android, and objective-c) are more likely to become obsolete. Our findings suggest that Stack Overflow should develop mechanisms to encourage the whole community to maintain answers (to avoid obsolete answers) and answer seekers are encouraged to carefully go through all information (e.g., comments) in answer threads.","1939-3520","","10.1109/TSE.2019.2906315","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8669958","Q&A website;stack overflow;obsolete knowledge;knowledge sharing","Aging;Knowledge engineering;Message systems;Google;Computer languages;Software engineering;Security","","43","","39","IEEE","19 Mar 2019","","","IEEE","IEEE Journals"
"Recommending APIs for API Related Questions in Stack Overflow","J. Zhang; H. Jiang; Z. Ren; X. Chen","School of Software, Dalian University of Technology, Dalian, China; State Key Laboratory of Software Engineering, Wuhan University, Wuhan, China; School of Software, Dalian University of Technology, Dalian, China; School of Software, Dalian University of Technology, Dalian, China",IEEE Access,"2 Mar 2018","2018","6","","6205","6219","Application programming interface (API)-related questions are increasingly posted and discussed by developers in popular question and answer forums, such as Stack Overflow. However, their extremely long resolution time seriously delays the working schedules of developers. Despite researchers have investigated how to automatically resolve API-related questions by recommending correct APIs for them, there is still much room for additional improvement. In this paper, we propose a novel approach of recommending APIs for API-related questions based on API specifications and historical resolved questions (RASH). Given a new API-related question, RASH recommends APIs for it guided by two central observations. First, the more lexically similar the functional description in an API's specification is to the new question, the more likely that the API can resolve the new question. Second, the APIs that have resolved more historical similar questions can also help to resolve the new question. To verify the effectiveness of RASH, we construct and publish a corpus containing 1234 API-related questions with their correct APIs from Stack Overflow, and conduct extensive experiments over it. The experimental results show that RASH is relatively stable and robust to a different quality of questions. In addition, RASH hits nearly 70% correct APIs and outperforms the state-of-the-art approach by 15.64% when recommending 15 APIs for each question.","2169-3536","","10.1109/ACCESS.2017.2777845","National Natural Science Foundation of China(grant numbers:61722202,61370144); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8121986","Application programming interfaces;information retrieval;recommendation system;stack overflow","Java;Correlation;Delays;Schedules;Robustness;Libraries","","19","","38","OAPA","28 Nov 2017","","","IEEE","IEEE Journals"
"Toward Empirically Investigating Non-Functional Requirements of iOS Developers on Stack Overflow","A. Ahmad; C. Feng; K. Li; S. M. Asim; T. Sun","School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China; School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China; School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China; Department of Statistics, University of Peshawar, Peshawar, Pakistan; School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China",IEEE Access,"20 May 2019","2019","7","","61145","61169","Context: Mobile application developers are getting more concerned due to the importance of quality requirements or non-functional requirements (NFR) in software quality. Developers around the globe are actively asking a question(s) and sharing solutions to the problems related to software development on Stack Overflow (SO). The knowledge shared by developers on SO contains useful information related to software development such as feature requests (functional/non-functional), code snippets, reporting bugs or sentiments. Extracting the NFRs shared by iOS developers on programming Q&A website SO has become a challenge and a less researched area. Objective: To identify and understand the real problems, needs, trends, and the critical NFRs or quality requirements discussed on Stack Overflow related to iOS mobile application development. Method: We extracted and used only the iOS posts data of SO. We applied the well-known statistical topical model Latent Dirichlet Allocation (LDA) to identify the main topics in iOS posts on SO. Then, we labeled the extracted topics with quality requirements or NFRs by using the wordlists to assess the trend, evolution, hot and unresolved NFRs in all iOS discussions. Results: Our findings revealed that the highly frequent topics the iOS developers discussed are related to usability, reliability, and functionality followed by efficiency. Interestingly, the most problematic areas unresolved are also usability, reliability, and functionality though followed by portability. Besides, the evolution trend of each of the six different quality requirements or NFRs over time is depicted through comprehensive visualization. Conclusion: Our first empirical investigation on approximately 1.5 million iOS posts and comments of SO gives insight on comprehending the NFRs in iOS application development through the lens of real-world practitioners.","2169-3536","","10.1109/ACCESS.2019.2914429","National Natural Science Foundation of China(grant numbers:U1636203); National Key Research and Development Program of China (NKRDPC)(grant numbers:2017YFB1002101); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8704713","Non-functional requirements (NFRs);quality requirements;iOS;Latent Dirichlet allocation (LDA);Stack Overflow","Software;Market research;Data mining;Application programming interfaces;Mobile communication;Mobile applications;Technological innovation","","17","","108","OAPA","2 May 2019","","","IEEE","IEEE Journals"
"Automated Question Title Reformulation by Mining Modification Logs From Stack Overflow","K. Liu; X. Chen; C. Chen; X. Xie; Z. Cui","School of Information Science and Technology, Nantong University, Nantong, China; School of Information Science and Technology, Nantong University, Nantong, China; Faculty of Information Technology, Monash University, Clayton, VIC, Australia; School of Computing and Information Systems, Singapore Management University, Singapore; Computer School, Beijing Information Science and Technology University, Beijing, China",IEEE Transactions on Software Engineering,"19 Sep 2023","2023","49","9","4390","4410","In Stack Overflow, developers may not clarify and summarize the critical problems in the question titles due to a lack of domain knowledge or poor writing skills. Previous studies mainly focused on automatically generating the question titles by analyzing the posts’ problem descriptions and code snippets. In this study, we aim to improve title quality from the perspective of question title reformulation and propose a novel approach QETRA motivated by the findings of our formative study. Specifically, by mining modification logs from Stack Overflow, we first extract title reformulation pairs containing the original title and the reformulated title. Then we resort to multi-task learning by formalizing title reformulation for each programming language as separate but related tasks. Later we adopt a pre-trained model T5 to automatically learn the title reformulation patterns. Automated evaluation and human study both show the competitiveness of QETRA after compared with six state-of-the-art baselines. Moreover, our ablation study results also confirm that our studied question title reformulation task is more practical than the direct question title generation task for generating high-quality titles. Finally, we develop a browser plugin based on QETRA to facilitate the developers to perform title reformulation. Our study provides a new perspective for studying the quality of post titles and can further generate high-quality titles.","1939-3520","","10.1109/TSE.2023.3292399","National Natural Science Foundation of China(grant numbers:61702041,61202006); Jiangsu Provincial Frontier Leading Technology Fundamental Research Project(grant numbers:BK20202001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10215058","Stack Overflow mining;question post quality assurance;question title reformulation;modification logs;deep learning","Task analysis;Computer languages;Codes;Message systems;Data mining;C# languages;Programming","","7","","88","IEEE","11 Aug 2023","","","IEEE","IEEE Journals"
