"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Offline Worker Selection for Real-Time Spatial Crowdsourcing Multi-Worker Tasks","Y. Zhao; Q. Han","Department of Computer, Science Colorado School of Mines, Golden, CO, USA; Department of Computer, Science Colorado School of Mines, Golden, CO, USA",2019 20th IEEE International Conference on Mobile Data Management (MDM),"8 Aug 2019","2019","","","545","550","Spatial crowdsourcing consists of location-specific tasks that require people to be physically at specific locations to complete them. In this paper we focus on worker selection for spatial crowdsourcing where each task requires multiple workers to accomplish. We mathematically formulate the problem and prove its APX-hardness. We develop efficient greedy algorithms with a good approximation ratio. Compared with state-of-the art approach, our proposed algorithm outperforms by 35%.","2375-0324","978-1-7281-3363-8","10.1109/MDM.2019.00117","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8788834","Spatial Crowdsourcing;Task Allocation;Multiworker Required Task","Task analysis;Automobiles;Crowdsourcing;Approximation algorithms;Real-time systems;Resource management;Games","","2","","11","IEEE","8 Aug 2019","","","IEEE","IEEE Conferences"
"An Empirical Study of Social Capital in Participation in Online Crowdsourcing","L. Peng; M. Zhang","School of Information Management, Hubei University of Economics, Wuhan, Hubei, China; School of Information Management, Hubei University of Economics, Wuhan, Hubei, China",2010 International Conference on E-Product E-Service and E-Entertainment,"10 Dec 2010","2010","","","1","4","Online crowdsourcing has become a new innovation business model through Internet . This paper studied the motives of the use of online crowdsourcing and the social capital in its community. The results indicates that learning, direct compensation, self-marketing and social motives are motives to activate the participation in outsourcing activities. Participation not only can increase company's innovation capability but also accumulate social capital of the crowdsoucing community formed by online participants.","","978-1-4244-7161-4","10.1109/ICEEE.2010.5660804","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5660804","","Biological system modeling;Technological innovation;Internet;Bonding;Companies;Indexes","","2","","5","IEEE","10 Dec 2010","","","IEEE","IEEE Conferences"
"Add-Remove-Confirm: Crowdsourcing synset cleansing","D. Ustalov; Y. Kiselev","N.N. Krasovskii Institute of Mathematics and Mechanics, Ural Branch of the Russian Academy of Sciences, 16 Sofia Kovalevskaya st., Yekaterinburg, Russia; Ural Federal University, Yekaterinburg, Russia",2015 9th International Conference on Application of Information and Communication Technologies (AICT),"30 Nov 2015","2015","","","143","147","Thesaurus is a crucial resource for many natural language processing and artificial intelligence problems, which require common sense reasoning. It is becoming highly topical to put special effort to ensure the high quality of synsets when a thesaurus is created collaboratively by non-expert annotators. This paper proposes Add-Remove-Confirm, a novel workflow for crowdsourcing synset cleansing. The present workflow has been empirically evaluated using a Russian thesaurus created through crowdsourcing showing that it does improve the synset quality as according to the expert assessment with high level of agreement.","","978-1-4673-6856-8","10.1109/ICAICT.2015.7338534","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7338534","natural language processing;lexical resource;crowdsourcing;collaborative lexicography;mechanized labor;data cleansing;thesaurus","Crowdsourcing;Thesauri;Natural language processing;Yarn;Electronic mail;Cognition;Databases","","2","","15","IEEE","30 Nov 2015","","","IEEE","IEEE Conferences"
"How can crowdsourcing help in crisis situations? Missing kids case study","H. El Alaoui El Abdallaoui; A. El Fazziki; A. Sadiq; F. Z. Ennaji; M. Sadgal","Universite Cadi Ayyad, Marrakech, MA; Computing Systems Engineering Laboratory (LISI), Cadi Ayyad University, Marrakesh, Morocco; Computing Systems Engineering Laboratory (LISI), Cadi Ayyad University, Marrakesh, Morocco; Computing Systems Engineering Laboratory (LISI), Cadi Ayyad University, Marrakesh, Morocco; Computing Systems Engineering Laboratory (LISI), Cadi Ayyad University, Marrakesh, Morocco",2016 IEEE/ACS 13th International Conference of Computer Systems and Applications (AICCSA),"12 Jun 2017","2016","","","1","7","Crowdsourcing consists of tools and methods that harness the potential of the crowd (intelligence and sense of creativity). It is increasingly used in different fields especially in some extreme emergency cases that require broad collaboration of all citizens. This collaboration will be unsuccessful or at least a heavy work without the ubiquity of new information technologies and the emergence of smartphones and mobile devices. They become more and more powerful mainly with the ‘anytime and anywhere’ Internet access. The contribution of this paper is twofold: we introduce a framework that can be widely used by government organizations to stimulate the crowd participation in a missing child case and we also reveal the importance of crowdsourcing in an e-government context to cope with society's changes.","2161-5330","978-1-5090-4320-0","10.1109/AICCSA.2016.7945793","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7945793","crowdsourcing;e-governance;crowd collaboration;mobile devices","Crowdsourcing;Government;Tools;Collaboration;Technological innovation","","1","1","18","IEEE","12 Jun 2017","","","IEEE","IEEE Conferences"
"TinyGenius: Intertwining Natural Language Processing with Microtask Crowdsourcing for Scholarly Knowledge Graph Creation","A. Oelen; M. Stocker; S. Auer","TIB Leibniz Information Centre for Science and Technology, Hannover, Germany; TIB Leibniz Information Centre for Science and Technology, Hannover, Germany; TIB Leibniz Information Centre for Science and Technology, Hannover, Germany",2022 ACM/IEEE Joint Conference on Digital Libraries (JCDL),"16 Aug 2022","2022","","","1","5","As the number of published scholarly articles grows steadily each year, new methods are needed to organize scholarly knowledge so that it can be more efficiently discovered and used. Natural Language Processing (NLP) techniques are able to autonomously process scholarly articles at scale and to create machine readable representations of the article content. However, autonomous NLP methods are by far not sufficiently accurate to create a high-quality knowledge graph. Yet quality is crucial for the graph to be useful in practice. We present TinyGenius, a methodology to validate NLP-extracted scholarly knowledge statements using microtasks performed with crowdsourcing. The scholarly context in which the crowd workers operate has multiple challenges. The explainability of the employed NLP methods is crucial to provide context in order to support the decision process of crowd workers. We employed TinyGenius to populate a paper-centric knowledge graph, using five distinct NLP methods. In the end, the resulting knowledge graph serves as a digital library for scholarly articles. CCS CONCEPTS • Information systems → Crowdsourcing; • Applied computing → Digital libraries and archives; • Human-centered computing → Graphical user interfaces.","","978-1-4503-9345-4","","European Research Council; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9852949","Crowdsourcing Microtasks;Knowledge Graph Validation;Scholarly Knowledge Graphs;Intelligent User Interfaces","Crowdsourcing;Human computer interaction;Natural language processing;Libraries;Information systems;Graphical user interfaces","","1","","20","","16 Aug 2022","","","IEEE","IEEE Conferences"
"A study of unsupervised adaptive crowdsourcing","G. Kesidis; A. Kurve","EE Dept, The Pennsylvania State University, University Park, PA; EE Dept, The Pennsylvania State University, University Park, PA",2012 IEEE International Conference on Communications (ICC),"29 Nov 2012","2012","","","1438","1442","We consider unsupervised crowdsourcing performance based on the model wherein the responses of end-users are essentially rated according to how their responses correlate with the majority of other responses to the same subtasks/questions. In one setting, we consider an independent sequence of identically distributed crowdsourcing assignments (meta-tasks), while in the other we consider a single assignment with a large number of component subtasks. Both problems yield intuitive results in which the overall reliability of the crowd is a factor.","1938-1883","978-1-4577-2053-6","10.1109/ICC.2012.6364014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6364014","Crowdsourcing;unsupervised learning;consensus;design;performance;error rate","Reliability;Parity check codes;Message passing;Correlation;Educational institutions;Sociology","","1","","23","IEEE","29 Nov 2012","","","IEEE","IEEE Conferences"
"Enhancing CREeLS the Crowdsourcing based Requirements Elicitation approach for eLearning Systems Using Bi-Gram Evaluation","N. M. Rizk; E. S. Nasr; M. H. Gheith","Faculty of Graduate Studies and Statistical Research, Cairo University, Egypt; Independent Researcher; Faculty of Graduate Studies and Statistical Research, Cairo University, Egypt",2019 15th International Computer Engineering Conference (ICENCO),"9 Mar 2020","2019","","","222","226","eLearning is gaining more ranking nowadays; eLearning systems (eLS) are in continuous need for improvements to meet its stakeholders' requirements. Traditional requirements elicitation techniques can't satisfy the continuous requirements of eLearning stakeholders. Crowdsourcing is an emerging concept in the requirements elicitation, an approach of requirements elicitation based on the crowdsourcing concept for eLS is discussed. In this paper the approach is further evaluated using bi-gram topic modeling. This will assess the approach validity to better extract eLearning stakeholders' requirements and help in the requirements elicitation and evolution of eLS. The bi-gram evaluation was applied on three LMS products and the results were compared with the results of LDA algorithm extraction and with the manual extraction of the requirements. The average results of bigram model were 0.68 f-measure, 0.76 precision, and 0.61 recall. The extracted keywords using bi-gram were better than normal LDA algorithm, relevant and can help in requirements evolution of the eLS.","2475-2320","978-1-7281-5146-5","10.1109/ICENCO48310.2019.9027371","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9027371","Requirements elicitation;eLearning;Crowdsourcing;Topic Modelling","Feature extraction;Crowdsourcing;Electronic learning;Stakeholders;Software;Requirements engineering;Tools","","1","","26","IEEE","9 Mar 2020","","","IEEE","IEEE Conferences"
"Complement of incomplete task results for real-time crowdsourcing interpretation","T. Shionome; H. Hashimoto; J. Zhang; Y. Shiraishi; D. Wakatsuki; Y. Seki; A. Morishima","Tsukuba University of Technology, Tsukuba-shi, Ibaraki, Japan; University of Tsukuba, Tsukuba-shi, Ibaraki, Japan; Iwate University, Iwate, Japan; Tsukuba University of Technology, Tsukuba-shi, Ibaraki, Japan; Tsukuba University of Technology, Tsukuba-shi, Ibaraki, Japan; Tsukuba University of Technology, Tsukuba-shi, Ibaraki, Japan; Tsukuba University of Technology, Tsukuba-shi, Ibaraki, Japan",2017 International Conference on Asian Language Processing (IALP),"22 Feb 2018","2017","","","359","362","On the crowdsourcing, there is a problem of unstable task results because of an unspecified number of people entrying the task. It is important for the quality improvement of task result to integrate incomplete task results. However, it is difficult to perform majority vote method for free-text-input style task. In addition, it couldn't be the quality improvement in the cases of many incomplete task results. In this report, we propose an integration method for real-time crowdsourcing interpretation. The present method complements incomplete sentences using co-occurrence words in the other task results. The evaluation results show that the proposed method improves subjective appraisals about sentence complement results.","","978-1-5386-1981-0","10.1109/IALP.2017.8300617","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8300617","real-time crowdsourcing;task results integration;sentence complement","Task analysis;Crowdsourcing;Real-time systems;Time factors;Vocabulary;Indexes;Assistive technology","","1","","8","IEEE","22 Feb 2018","","","IEEE","IEEE Conferences"
"A Two-staged task assignment algorithm for worker recommendation in a crowdsourcing environment","R. Chen; S. Chen; X. Zhang","Dalian Maritime University, Dalian, China; Sichuan University-Pittsburgh Institute, Chengdu, China; Dalian Maritime University, Dalian, China",2017 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),"12 Feb 2018","2017","","","2034","2038","Crowdsourcing markets have provided a means to complete tasks cheaply by global netizens. However, having less control of their workers may adversely affect the quality of work, even worse when assigning tasks without considering workers' skills, abilities and commitments. We extend the Dual Task Assigner (DTA) algorithm with the Artificial Bee Colony (ABC) algorithm, which figures out the optimal task baseline level for each task to guide the task assignment to workers with appropriate skills. We empirically evaluate the proposed algorithm using data collected from several crowdsourcing practices by freshmen in computer classes. The results show that our algorithm guarantees task results, and statistically performs better than the existing DTA and random assignment algorithms.","2157-362X","978-1-5386-0948-4","10.1109/IEEM.2017.8290249","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8290249","Crowdsourcing;Task Assignment;Artificial Bee Colony (ABC);DTA","Task analysis;Crowdsourcing;Cats;Dogs;Search methods;Usability","","1","","15","IEEE","12 Feb 2018","","","IEEE","IEEE Conferences"
"On the legal issues about crowdsourcing and witkey","Guo Peng","Department of Communication and Information Engineering, Xi'an University of Science and Technology, Xi'an, China","Proceeding of the International Conference on e-Education, Entertainment and e-Management","26 Jan 2012","2011","","","293","295","Crowdsourcing and Witkey are the new terms of economic theory research, the origin of the two different but the same meaning. The legal issues of crowdsourcing are mainly manifested in three aspects: the legal relationship between employing company and WitKey, the risk of misuse of personal information and the protection of intellectual property rights. Preliminary solutions to the problems include: to sign an underlying contract, disclosure of basic information on contract-issuing party and the provisions of fixed and processing personal information about Witkey.","","978-1-4577-1382-8","10.1109/ICeEEM.2011.6137809","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6137809","Crowdsourcing;Witkey;legal issues","Economics;Companies","","1","","4","IEEE","26 Jan 2012","","","IEEE","IEEE Conferences"
